id,base_id,model,keep,pLDDT,id_plddt,length,aa_entropy,instability,gravy,isoelectric_point,low_complex,max_homopolymer,helix_sheet,id_metrics
CheY-like_superfamily_002|CheY-like,CheY-like_superfamily_002,ProLLaMA,False,94.39999999999999,CheY-like_superfamily_002|CheY-like,213,4.012362293159248,47.13990610328639,-0.0464788732394366,5.57939510345459,0.0,3,2.4186046511627906,CheY-like_superfamily_002|CheY-like
CheY-like_superfamily_014|CheY-like,CheY-like_superfamily_014,ProLLaMA,False,75.9,CheY-like_superfamily_014|CheY-like,140,3.834676330921347,58.78071428571427,-0.0714285714285714,5.193174171447752,0.0,2,4.529411764705882,CheY-like_superfamily_014|CheY-like
CheY-like_superfamily_027|CheY-like,CheY-like_superfamily_027,ProLLaMA,True,83.3,CheY-like_superfamily_027|CheY-like,117,3.914182552344038,29.722222222222207,-0.0324786324786324,5.161458015441893,0.0,2,2.0,CheY-like_superfamily_027|CheY-like
CheY-like_superfamily_031|CheY-like,CheY-like_superfamily_031,ProLLaMA,False,88.8,CheY-like_superfamily_031|CheY-like,204,4.024833262916188,44.63725490196079,-0.0862745098039215,7.878375053405763,0.0,3,2.2045454545454546,CheY-like_superfamily_031|CheY-like
CheY-like_superfamily_032|CheY-like,CheY-like_superfamily_032,ProLLaMA,False,76.6,CheY-like_superfamily_032|CheY-like,248,3.981005212906028,44.844354838709656,-0.0391129032258064,5.002479362487793,0.0,4,2.933333333333333,CheY-like_superfamily_032|CheY-like
CheY-like_superfamily_033|CheY-like,CheY-like_superfamily_033,ProLLaMA,False,65.8,CheY-like_superfamily_033|CheY-like,141,4.023580595883067,59.61985815602836,-0.0631205673758865,4.791777229309083,0.0,3,2.571428571428572,CheY-like_superfamily_033|CheY-like
CheY-like_superfamily_049|CheY-like,CheY-like_superfamily_049,ProLLaMA,True,88.3,CheY-like_superfamily_049|CheY-like,252,3.877692945781906,32.630158730158726,-0.0880952380952379,4.876296806335449,0.0,2,3.261904761904762,CheY-like_superfamily_049|CheY-like
CheY-like_superfamily_055|CheY-like,CheY-like_superfamily_055,ProLLaMA,False,67.9,CheY-like_superfamily_055|CheY-like,247,4.060236108243848,48.464048582995936,-0.1777327935222671,5.701030540466309,0.0,3,2.0,CheY-like_superfamily_055|CheY-like
CheY-like_superfamily_057|CheY-like,CheY-like_superfamily_057,ProLLaMA,True,70.5,CheY-like_superfamily_057|CheY-like,138,3.990708784432405,38.366666666666646,-0.2789855072463766,4.982926750183105,0.0,3,2.032258064516129,CheY-like_superfamily_057|CheY-like
CheY-like_superfamily_062|CheY-like,CheY-like_superfamily_062,ProLLaMA,True,74.3,CheY-like_superfamily_062|CheY-like,135,3.884307297496683,34.03259259259258,-0.1666666666666666,9.696576881408692,0.0,3,1.6153846153846154,CheY-like_superfamily_062|CheY-like
CheY-like_superfamily_087|CheY-like,CheY-like_superfamily_087,ProLLaMA,False,78.0,CheY-like_superfamily_087|CheY-like,204,4.039043428383935,57.60441176470587,-0.2446078431372548,9.196044349670409,0.0,3,2.5,CheY-like_superfamily_087|CheY-like
CheY-like_superfamily_091|CheY-like,CheY-like_superfamily_091,ProLLaMA,False,70.39999999999999,CheY-like_superfamily_091|CheY-like,135,3.885311394914859,40.17777777777776,0.0022222222222222,4.807521629333496,0.0,3,2.2413793103448274,CheY-like_superfamily_091|CheY-like
CheY-like_superfamily_093|CheY-like,CheY-like_superfamily_093,ProLLaMA,False,71.1,CheY-like_superfamily_093|CheY-like,238,4.024235233932341,41.416386554621845,-0.0722689075630251,4.902897453308105,0.0,2,1.8070175438596487,CheY-like_superfamily_093|CheY-like
CheY-like_superfamily_095|CheY-like,CheY-like_superfamily_095,ProLLaMA,True,76.8,CheY-like_superfamily_095|CheY-like,138,3.9376221034673313,32.78478260869564,-0.2572463768115941,4.874762153625488,0.0,2,2.5384615384615383,CheY-like_superfamily_095|CheY-like
